,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,cb_basic,NA,,True,cb
1,bond_full_name,object,cb_basic,NA,,True,cb
2,bond_short_name,object,cb_basic,NA,,True,cb
3,cb_code,object,cb_basic,NA,,True,cb
4,stk_code,object,cb_basic,NA,,True,cb
5,stk_short_name,object,cb_basic,NA,,True,cb
6,maturity,object,cb_basic,NA,,True,cb
7,par,object,cb_basic,NA,,True,cb
8,issue_price,object,cb_basic,NA,,True,cb
9,issue_size,object,cb_basic,NA,,True,cb
10,remain_size,object,cb_basic,NA,,True,cb
11,value_date,object,cb_basic,NA,,True,cb
12,maturity_date,object,cb_basic,NA,,True,cb
13,rate_type,object,cb_basic,NA,,True,cb
14,coupon_rate,object,cb_basic,NA,,True,cb
15,add_rate,object,cb_basic,NA,,True,cb
16,pay_per_year,object,cb_basic,NA,,True,cb
17,list_date,object,cb_basic,NA,,True,cb
18,delist_date,object,cb_basic,NA,,True,cb
19,exchange,object,cb_basic,NA,,True,cb
20,conv_start_date,object,cb_basic,NA,,True,cb
21,conv_end_date,object,cb_basic,NA,,True,cb
22,conv_stop_date,object,cb_basic,NA,,True,cb
23,first_conv_price,object,cb_basic,NA,,True,cb
24,conv_price,object,cb_basic,NA,,True,cb
25,rate_clause,object,cb_basic,NA,,True,cb
26,put_clause,object,cb_basic,NA,,False,cb
27,maturity_put_price,object,cb_basic,NA,,False,cb
28,call_clause,object,cb_basic,NA,,False,cb
29,reset_clause,object,cb_basic,NA,,False,cb
30,conv_clause,object,cb_basic,NA,,False,cb
31,guarantor,object,cb_basic,NA,,False,cb
32,guarantee_type,object,cb_basic,NA,,False,cb
33,issue_rating,object,cb_basic,NA,,False,cb
34,newest_rating,object,cb_basic,NA,,False,cb
35,rating_comp,object,cb_basic,NA,,False,cb
36,ts_code,object,cb_issue,NA,,True,cb
37,ann_date,object,cb_issue,NA,,True,cb
38,res_ann_date,object,cb_issue,NA,,True,cb
39,plan_issue_size,object,cb_issue,NA,,True,cb
40,issue_size,object,cb_issue,NA,,True,cb
41,issue_price,object,cb_issue,NA,,True,cb
42,issue_type,object,cb_issue,NA,,True,cb
43,issue_cost,object,cb_issue,NA,,False,cb
44,onl_code,object,cb_issue,NA,,True,cb
45,onl_name,object,cb_issue,NA,,True,cb
46,onl_date,object,cb_issue,NA,,True,cb
47,onl_size,object,cb_issue,NA,,True,cb
48,onl_pch_vol,object,cb_issue,NA,,True,cb
49,onl_pch_num,object,cb_issue,NA,,True,cb
50,onl_pch_excess,object,cb_issue,NA,,True,cb
51,onl_winning_rate,object,cb_issue,NA,,False,cb
52,shd_ration_code,object,cb_issue,NA,,True,cb
53,shd_ration_name,object,cb_issue,NA,,True,cb
54,shd_ration_date,object,cb_issue,NA,,True,cb
55,shd_ration_record_date,object,cb_issue,NA,,True,cb
56,shd_ration_pay_date,object,cb_issue,NA,,True,cb
57,shd_ration_price,object,cb_issue,NA,,True,cb
58,shd_ration_ratio,object,cb_issue,NA,,True,cb
59,shd_ration_size,object,cb_issue,NA,,True,cb
60,shd_ration_vol,object,cb_issue,NA,,False,cb
61,shd_ration_num,object,cb_issue,NA,,False,cb
62,shd_ration_excess,object,cb_issue,NA,,False,cb
63,offl_size,object,cb_issue,NA,,True,cb
64,offl_deposit,object,cb_issue,NA,,False,cb
65,offl_pch_vol,object,cb_issue,NA,,False,cb
66,offl_pch_num,object,cb_issue,NA,,False,cb
67,offl_pch_excess,object,cb_issue,NA,,False,cb
68,offl_winning_rate,object,cb_issue,NA,,False,cb
69,lead_underwriter,object,cb_issue,NA,,False,cb
70,lead_underwriter_vol,object,cb_issue,NA,,False,cb
71,ts_code,object,cb_call,NA,,True,cb
72,call_type,object,cb_call,NA,,True,cb
