,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,stock_basic,NA,,True,stock
1,symbol,object,stock_basic,NA,,True,stock
2,name,object,stock_basic,NA,,True,stock
3,area,object,stock_basic,NA,,True,stock
4,industry,object,stock_basic,NA,,True,stock
5,fullname,object,stock_basic,NA,,False,stock
6,enname,object,stock_basic,NA,,False,stock
7,cnspell,object,stock_basic,NA,,False,stock
8,market,object,stock_basic,NA,,True,stock
9,exchange,object,stock_basic,NA,,False,stock
10,curr_type,object,stock_basic,NA,,False,stock
11,list_status,object,stock_basic,NA,,False,stock
12,list_date,object,stock_basic,NA,,True,stock
13,delist_date,object,stock_basic,NA,,False,stock
14,is_hs,object,stock_basic,NA,,False,stock
15,act_name,object,stock_basic,NA,,False,stock
16,act_ent_type,object,stock_basic,NA,,False,stock
17,exchange,object,trade_cal,NA,,True,stock
18,cal_date,object,trade_cal,NA,,True,stock
19,is_open,int64,trade_cal,NA,,True,stock
20,pretrade_date,object,trade_cal,NA,,False,stock
21,ts_code,object,daily,daily,,True,stock
22,trade_date,object,daily,daily,,True,stock
23,open,float64,daily,daily,,True,stock
24,high,float64,daily,daily,,True,stock
25,low,float64,daily,daily,,True,stock
26,close,float64,daily,daily,,True,stock
27,pre_close,float64,daily,daily,,True,stock
28,change,float64,daily,daily,,True,stock
29,pct_chg,float64,daily,daily,,True,stock
30,vol,float64,daily,daily,,True,stock
31,amount,float64,daily,daily,,True,stock
32,ts_code,object,weekly,weekly,,True,stock
33,trade_date,object,weekly,weekly,,True,stock
34,close,float64,weekly,weekly,,True,stock
35,open,float64,weekly,weekly,,True,stock
36,high,float64,weekly,weekly,,True,stock
37,low,float64,weekly,weekly,,True,stock
38,pre_close,float64,weekly,weekly,,True,stock
39,change,float64,weekly,weekly,,True,stock
40,pct_chg,float64,weekly,weekly,,True,stock
41,vol,float64,weekly,weekly,,True,stock
42,amount,float64,weekly,weekly,,True,stock
43,ts_code,object,monthly,monthly,,True,stock
44,trade_date,object,monthly,monthly,,True,stock
45,close,float64,monthly,monthly,,True,stock
46,open,float64,monthly,monthly,,True,stock
47,high,float64,monthly,monthly,,True,stock
48,low,float64,monthly,monthly,,True,stock
49,pre_close,float64,monthly,monthly,,True,stock
50,change,float64,monthly,monthly,,True,stock
51,pct_chg,float64,monthly,monthly,,True,stock
52,vol,float64,monthly,monthly,,True,stock
53,amount,float64,monthly,monthly,,True,stock
54,ts_code,object,pro_bar,NA,,True,stock
55,trade_date,object,pro_bar,NA,,True,stock
56,open,float64,pro_bar,NA,,True,stock
57,high,float64,pro_bar,NA,,True,stock
58,low,float64,pro_bar,NA,,True,stock
59,close,float64,pro_bar,NA,,True,stock
60,pre_close,float64,pro_bar,NA,,True,stock
61,change,float64,pro_bar,NA,,True,stock
62,pct_chg,float64,pro_bar,NA,,True,stock
63,vol,float64,pro_bar,NA,,True,stock
64,amount,float64,pro_bar,NA,,True,stock
65,ts_code,object,daily_basic,NA,,True,stock
66,trade_date,object,daily_basic,NA,,True,stock
67,close,float64,daily_basic,NA,,True,stock
68,turnover_rate,float64,daily_basic,NA,,True,stock
69,turnover_rate_f,float64,daily_basic,NA,,True,stock
70,volume_ratio,float64,daily_basic,NA,,True,stock
71,pe,float64,daily_basic,NA,,True,stock
72,pe_ttm,float64,daily_basic,NA,,True,stock
73,pb,float64,daily_basic,NA,,True,stock
74,ps,float64,daily_basic,NA,,True,stock
75,ps_ttm,float64,daily_basic,NA,,True,stock
76,dv_ratio,float64,daily_basic,NA,,True,stock
77,dv_ttm,float64,daily_basic,NA,,True,stock
78,total_share,float64,daily_basic,NA,,True,stock
79,float_share,float64,daily_basic,NA,,True,stock
80,free_share,float64,daily_basic,NA,,True,stock
81,total_mv,float64,daily_basic,NA,,True,stock
82,circ_mv,float64,daily_basic,NA,,True,stock
83,ts_code,object,income,NA,,True,stock
84,ann_date,object,income,NA,,True,stock
85,f_ann_date,object,income,NA,,True,stock
86,end_date,object,income,NA,,True,stock
87,report_type,object,income,NA,,True,stock
88,comp_type,object,income,NA,,True,stock
89,end_type,object,income,NA,,True,stock
90,basic_eps,object,income,NA,,True,stock
91,diluted_eps,object,income,NA,,True,stock
92,total_revenue,float64,income,NA,,True,stock
93,revenue,float64,income,NA,,True,stock
94,int_income,float64,income,NA,,True,stock
95,prem_earned,object,income,NA,,True,stock
96,comm_income,float64,income,NA,,True,stock
97,n_commis_income,float64,income,NA,,True,stock
98,n_oth_income,float64,income,NA,,True,stock
99,n_oth_b_income,float64,income,NA,,True,stock
100,prem_income,object,income,NA,,True,stock
101,out_prem,object,income,NA,,True,stock
102,une_prem_reser,object,income,NA,,True,stock
103,reins_income,object,income,NA,,True,stock
104,n_sec_tb_income,object,income,NA,,True,stock
105,n_sec_uw_income,object,income,NA,,True,stock
106,n_asset_mg_income,object,income,NA,,True,stock
107,oth_b_income,float64,income,NA,,True,stock
108,fv_value_chg_gain,object,income,NA,,True,stock
109,invest_income,float64,income,NA,,True,stock
110,ass_invest_income,object,income,NA,,True,stock
111,forex_gain,float64,income,NA,,True,stock
112,total_cogs,float64,income,NA,,True,stock
113,oper_cost,object,income,NA,,True,stock
114,int_exp,float64,income,NA,,True,stock
115,comm_exp,float64,income,NA,,True,stock
116,biz_tax_surchg,float64,income,NA,,True,stock
117,sell_exp,float64,income,NA,,True,stock
118,admin_exp,float64,income,NA,,True,stock
119,fin_exp,object,income,NA,,True,stock
120,assets_impair_loss,float64,income,NA,,True,stock
