,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,us_basic,NA,,True,us
1,name,object,us_basic,NA,,True,us
2,enname,object,us_basic,NA,,False,us
3,classify,object,us_basic,NA,,True,us
4,list_date,object,us_basic,NA,,True,us
5,delist_date,object,us_basic,NA,,True,us
6,cal_date,object,us_tradecal,NA,,True,us
7,is_open,int64,us_tradecal,NA,,True,us
8,pretrade_date,object,us_tradecal,NA,,True,us
9,ts_code,object,us_daily,daily,,True,us
10,trade_date,object,us_daily,daily,,True,us
11,close,object,us_daily,daily,,True,us
12,open,object,us_daily,daily,,True,us
13,high,object,us_daily,daily,,True,us
14,low,object,us_daily,daily,,True,us
15,pre_close,object,us_daily,daily,,True,us
16,change,object,us_daily,daily,,False,us
17,pct_change,object,us_daily,daily,,True,us
18,vol,object,us_daily,daily,,True,us
19,amount,object,us_daily,daily,,True,us
20,vwap,object,us_daily,daily,,True,us
21,turnover_ratio,object,us_daily,daily,,False,us
22,total_mv,object,us_daily,daily,,False,us
23,pe,object,us_daily,daily,,False,us
24,pb,object,us_daily,daily,,False,us
