,ts_code,name,enname,classify,list_date,delist_date
0,A,,AGILENT TECHS.,EQ,19991118,
1,AA,,ALCOA,EQ,20161031,
2,AAALF,,AAREAL BANK (OTC),EQ,20140113,
3,AAALY,,AAREAL BANK ADR 1:1,ADR,20150129,
4,AABB,,ASIA BROADBAND,EQ,20010111,
5,AABVF,,ABERDEEN INTL. (OTC),EQ,19600101,
6,AAC,,ARES ACQUISITION A,EQ,20210325,
7,AAC.U,,ARES ACQUISITION UNITS,EQ,20210202,
8,AACAF,,AAC TECHS.HDG. (OTC),EQ,20050722,
9,AACAY,,AAC TECHNOLOGIES HOLDINGS ADR 1:1,ADR,20081015,
10,AACG,,ATA CREATIVITY GLOBAL ADR 1:2,ADR,20080128,
11,AACI,,ARMADA ACQUISITION I,EQ,20211110,
12,AACIU,,ARMADA ACQUISITION I UNITS,EQ,20210813,
13,AACIW,,ARMADA ACQ.I EQ. WARRT. EXP 13TH AUG 2026,EQ,20211111,
14,AACS,,AMER.COM.SLTN.,EQ,20030616,
15,AACT.U,,ARES ACQUISITION UNITS A,EQ,20230421,
16,AACTF,,AURORA SOLAR TECHS.(OTC),EQ,20131002,
17,AADI,,AADI BIOSCIENCE,EQ,20170808,
18,AAEEF,,ALTAIR RESOURCES (OTC),EQ,20120123,
19,AAFRF,,AIRTEL AFRICA (OTC),EQ,20220222,
20,AAGC,,ALL AMERICAN GOLD,EQ,20100910,
21,AAGEF,,AAG ENERGY HOLDINGS(OTC),EQ,20180830,
22,AAGFF,,AFTERMATH SILVER (OTC),EQ,20110816,
23,AAGH,,AMERICA GREAT HEALTH,EQ,20120925,
24,AAGIY,,AIA GROUP ADR 1:4,ADR,20110228,
25,AAGRY,,ASTRA AGRO LESTARI TBK PT UNSP.INDO.ADR 1:5,ADR,20140328,
26,AAIC,,ARLINGTON ASSET INVESTMENT A,EQ,19971223,
27,AAICPRC,,ARLINGTON ASN.8.250 CUM. RED.PREF. SR.C,EQ,20190306,
28,AAIGF,,AIA GROUP (OTC),EQ,20101214,
29,AAIIQ,,ALABAMA AIRCRAFT INDS.,EQ,19870507,
30,AAIRF,,AMERICAN AIRES (OTC),EQ,20200115,
31,AAL,,AMERICAN AIRLINES GROUP,EQ,20131209,
32,AALBF,,AALBERTS (OTC),EQ,20130708,
33,AAMAF,,ATLAS MARA CO-NVEST(OTC),EQ,20140213,
34,AAMC,,ALTISOURCE ASSET MAN.,EQ,20121213,
35,AAME,,ATLANTIC AMERICAN,EQ,19721214,
36,AAMMF,,ALMADEX MINERALS (OTC),EQ,20180531,
37,AAMPRA,,APO.ASTMGMT.6 375 PREF. SR.A,EQ,20170301,
38,AAMPRB,,APO.ASTMGMT.6 375 PREF. SR.B,EQ,20180313,
39,AAMTF,,ARMADA MERCANTILE (OTC),EQ,20141117,
40,AAN,,AARON S COMPANY,EQ,20201125,
41,AANNF,,AROUNDTOWN (OTC),EQ,20191025,
42,AAOI,,APPLIED OPTOELECTRONICS,EQ,20130927,
43,AAON,,AAON,EQ,19880526,
44,AAP,,ADV.AUTO PARTS,EQ,20011121,
45,AAPJ,,AAP,EQ,19960808,
46,AAPL,,APPLE,EQ,19801212,
47,AAPT,,ALL AMERICAN PET,EQ,20070425,
48,AARTY,,AIRTEL AF.UNSP. AMER. DPREC.1:10,EQ,20220519,
49,AASL,,AMERICAS SUPPLIERS,EQ,20091214,
50,AASP,,GLOBAL ACQUISITIONS,EQ,20110223,
51,AASZF,,ATLANTIC SAPPHIRE (OTC),EQ,20180502,
52,AAT,,AMERICAN ASSETS TRUST,EQ,20110113,
53,AATC,,AUTOSCOPE TECHNOLOGIES,EQ,19950505,
54,AATGF,,ATI AIRTEST TECHS. (OTC),EQ,20140113,
55,AATP,,AGAPE ATP,EQ,20181005,
56,AATV,,ADAPTIVE AD SYSTEMS,EQ,20010821,
57,AAU,,ALMADEN MINERALS (ASE),EQ,20051219,
58,AAUGF,,ANGOLD RESOURCES (OTC),EQ,20210322,
59,AAUKF,,ANGLO AMERICAN (OTC),EQ,20140113,
60,AAVMY,,ABN AMRO BK N V AMSTD. BRH UNSP.NETH.ADR 1:1,ADR,20190809,
61,AAVVF,,ADVANTAGE ENERGY (OTC),EQ,20051212,
62,AAVXF,,ABIVAX (OTC),EQ,20160930,
63,AAWH,,ASCEND WELLNESS (OTC) HOLDINGS A,EQ,20210526,
64,AAXT,,AAMAXAN TRANSPORT GROUP,EQ,19930928,
65,AAYYY,,AUSTRALIAN AGRICULTURAL UNSP.ADR,ADR,20220330,
