股票代码_Stkcd,日期_Date,收盘价_Clpr,成交金额_Trdsum,流通股_Trdshr
002336.SZ,2022/1/4,5.21,26778005.3,440000000
002336.SZ,2022/1/5,5.21,13233797,440000000
002336.SZ,2022/1/6,5.34,19918997.1,440000000
002336.SZ,2022/1/7,5.16,17863979.53,440000000
002336.SZ,2022/1/10,5.16,10697418.78,440000000
002336.SZ,2022/1/11,5.21,12630813.3,440000000
002336.SZ,2022/1/12,5.36,15220362.71,440000000
002336.SZ,2022/1/13,5.9,32422301.86,440000000
002336.SZ,2022/1/14,6.49,47140247.38,440000000
002336.SZ,2022/1/17,7.14,81903906.48,440000000
002336.SZ,2022/1/18,6.43,176869250.2,440000000
002336.SZ,2022/1/19,6.06,120625903,440000000
002336.SZ,2022/1/20,5.69,83080599.77,440000000
002336.SZ,2022/1/21,6.26,85100343.11,440000000
002336.SZ,2022/1/24,6.89,138696736.8,440000000
002336.SZ,2022/1/25,6.2,186257326,440000000
002336.SZ,2022/1/26,6.09,125799612.1,440000000
002336.SZ,2022/1/27,5.48,80514417.97,440000000
002336.SZ,2022/1/28,5.31,62481307.52,440000000
002336.SZ,2022/2/7,5.84,70034646.25,440000000
002336.SZ,2022/2/8,5.78,74254299.59,440000000
002336.SZ,2022/2/9,5.81,64482926.45,440000000
002336.SZ,2022/2/10,6.09,110504562.6,440000000
002336.SZ,2022/2/11,6.27,118024448.7,440000000
002336.SZ,2022/2/14,6.6,151312595.2,440000000
002336.SZ,2022/2/15,6.27,87181681.69,440000000
002336.SZ,2022/2/16,6.04,67587816.6,440000000
002336.SZ,2022/2/17,5.86,64086752.64,440000000
002336.SZ,2022/2/18,5.9,43591829.1,440000000
002336.SZ,2022/2/21,5.81,39708497.7,440000000
002336.SZ,2022/2/22,6.06,90396220.25,440000000
002336.SZ,2022/2/23,6.33,92183084.8,440000000
002336.SZ,2022/2/24,6.2,82617499.4,440000000
002336.SZ,2022/2/25,6.46,81564052.98,440000000
002336.SZ,2022/2/28,7.11,46654333.31,440000000
